Code,CA-AB,CA-BC,CA-MB,CA-NB,CA-NL,CA-NT,CA-NS,CA-NU,CA-ON,CA-PE,CA-QC,CA-SK,CA-YT
x00909,0,0,0,0,0,0,0,0,0,0,0,0,0
bargol,32,4444,0,21,10,0,107,0,15,53,1365,0,0
cxbgol1,0,0,0,0,0,0,2,0,1,0,0,0,0
smew,0,0,0,0,0,0,0,0,0,0,0,0,0
hoomer,13,1008,0,5,0,0,537,0,772,5,138,0,0
x00202,0,0,0,0,0,0,0,0,0,0,0,0,0
x00424,0,0,0,0,0,0,0,0,0,0,0,0,0
x00425,0,0,0,0,0,0,0,0,5,0,0,0,0
x00426,0,0,0,0,0,0,0,0,0,0,0,0,0
x00631,0,0,0,0,0,0,0,0,0,0,0,0,0
commer,272,2544,0,57,125,0,2150,0,15186,261,1252,7,2
rebmer,0,1985,0,152,278,0,872,0,4081,1,275,0,0
rudduc,0,98,0,0,0,0,5,0,413,0,0,0,0
helgui,0,0,0,0,0,0,0,0,0,0,0,0,0
mouqua,0,0,0,0,0,0,0,0,0,0,0,0,0
norbob,0,0,0,0,0,0,0,0,0,0,0,0,0
calqua,0,1365,0,0,0,0,0,0,0,0,0,0,0
gamqua,0,0,0,0,0,0,0,0,0,0,0,0,0
wiltur,0,241,42,0,0,0,0,0,4469,0,1938,0,0
rufgro,31,89,21,10,0,1,38,0,195,0,117,18,8
saggro,0,0,0,0,0,0,0,0,0,0,0,0,0
dusgro,0,1,0,0,0,0,0,0,0,0,0,0,0
soogro1,0,1,0,0,0,0,0,0,0,0,0,0,0
shtgro,16,0,104,0,0,0,0,0,144,0,4,377,0
x00727,0,0,0,0,0,0,0,0,0,0,0,0,0
grpchi,0,0,0,0,0,0,0,0,0,0,0,0,0
x00728,0,0,0,0,0,0,0,0,0,0,0,0,0
whtpta1,1,3,0,0,0,0,0,0,0,0,0,0,0
wilpta,3,3,9,0,8,88,0,0,0,0,128,0,2
rocpta1,0,0,0,0,0,0,0,0,0,0,0,0,0
sprgro,6,28,8,0,0,0,3,0,3,0,50,8,1
grypar,866,0,309,0,0,0,0,0,4,0,257,933,0
golphe,0,0,0,0,0,0,0,0,0,0,1,0,0
laaphe1,0,0,0,0,0,0,0,0,0,0,0,0,0
rinphe1,94,50,16,30,0,0,136,0,8,1,1,24,0
rinphe2,0,0,0,0,0,0,0,0,0,0,0,0,0
silphe,0,0,0,0,0,0,0,0,0,0,0,0,0
compea,0,12,0,0,0,0,0,0,0,0,0,0,0
redjun,0,0,0,0,0,0,0,0,0,0,0,0,0
blbqua1,0,0,0,0,0,0,0,0,0,0,0,0,0
comqua1,0,0,0,0,0,0,0,0,0,0,0,0,0
japqua,0,0,0,0,0,0,0,0,0,0,0,0,0
relpar1,0,0,0,0,0,0,0,0,0,0,0,0,0
chukar,0,12,0,0,0,0,0,0,0,0,0,0,0
chifla1,0,0,0,0,0,0,0,0,0,0,0,0,0
grefla2,0,0,0,0,0,0,0,0,0,0,0,0,0
